"КАТЕГОРИЯ","НОМЕНКЛАТУРА","АВТОР","ИЗДАТЕЛЬСТВО","ГОД ИЗДАНИЯ","НОМЕНКЛАТУРА.КОЛИЧЕСТВО СТРАНИЦ","ИСПОЛНЕНИЕ ПЕРЕПЛЕТА","НОМЕНКЛАТУРА.ФОРМАТ КНИГИ","НОМЕНКЛАТУРА.ISBN","НОМЕНКЛАТУРА.СТАНДАРТ","НОМЕНКЛАТУРА.АННОТАЦИЯ","НОМЕНКЛАТУРА.АРТИКУЛ","НОМЕНКЛАТУРА.ИНТЕРНЕТ ССЫЛКА ДЛЯ EOTR","СЕРИЯ","РОЗНИЧНАЯ","СЕБЕСТОИМОСТЬ","СТАТУС","ДАТА"
"50","50 самых красивых городов Европы","Пантилеева А.И., сост.","Белый город","2009","104","твердый переплет","188х260х9","978-5-7793-1736-8","32","Книга знакомит читателя с пятьюдесятью крупнейшими культурными центрами Европы: их географическим положением, краткой историей и основными достопримечательностями.","00104079002","http://www.belygorod.ru/b/N00104079002.jpg","50","265.0","189.0","p","2020-02-25"
"50","50 стран современного мира","Пантилеева А.И., сост.","Белый город","2009","104","твердый переплет","188х260х9","978-5-7793-1732-0","32","Книга содержит основные сведения о географическом положении, политическом устройстве, численности,  административно-территориальном делении пятидесяти крупнейших стран мира.","00104079003","http://www.belygorod.ru/b/N00104079003.jpg","50","100.0","83.0","p","2015-10-30"
"50","50. Самые вкусные овощи и фрукты","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х11","978-5-7793-2014-6","20","Книга предлагает читателю познакомиться с самыми известными овощами и фруктами. Любопытные истории и факты о них дополняет красочный иллюстративный материал.","00104079035","http://www.belygorod.ru/b/N00104079035.jpg","50","200.0","154.0","p","2018-03-25"
"50","50. Самые знаменитые боги и герои Древней Греции","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1882-2","30","В книге представлены пятьдесят наиболее известных персонажей греческой мифологии: боги и герои, волшебные существа, их история, культ поклонения и связанные с ними обычаи.","00104079005","http://www.belygorod.ru/b/N00104079005.jpg","50","200.0","154.0","p","2017-03-02"
"50","50. Самые знаменитые достопримечательности Италии","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х11","978-5-7793-2150-1","20","Это издание познакомит читателя с самыми знаменитыми достопримечательностями Италии.","00104079038","http://www.belygorod.ru/b/N00104079038.jpg","50","200.0","143.0","p","2013-12-01"
"50","50. Самые знаменитые памятники античности","Астахов А. Ю.,сост.","Белый город","2011","104","твердый переплет","188х260х9","978-5-7793-2074-0","26","В книге представлены пятьдесят наиболее известных памятников античного мира, дается краткая история их создания и место, которое они занимали в культуре народов Европы.","00104079025","http://www.belygorod.ru/b/N00104079025.jpg","50","200.0","154.0","p","2017-10-24"
"50","50. Самые знаменитые правители мира","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х11","978-5-7793-1953-9","30","В книге собрано пятьдесят статей, посвященных мировым правителям с древних времен и вплоть до ХХ века. Основной текст дополняют интересные факты из жизни властителей и мировой истории.","00104079018","http://www.belygorod.ru/b/N00104079018.jpg","50","200.0","154.0","p","2011-12-22"
"50","50. Самые знаменитые православные храмы Москвы","Пантилеева А.И., сост.","Белый город","2010","104","твердый переплет","188х260х8","978-5-7793-1960-7","25","Книга содержит основную информацию о самых известных православных храмах Москвы.","00104079020","http://www.belygorod.ru/b/N00104079020.jpg","50","200.0","154.0","p","2018-01-24"
"50","50. Самые знаменитые соборы мира","Под ред. Аптекман В.Л.","Белый город","2010","104","твердый переплет","188х260х10","978-5-7793-1792-4","30","Книга содержит основную информацию о 50 великих соборах мира.","00104079010","http://www.belygorod.ru/b/N00104079010.jpg","50","200.0","143.0","p","2018-03-23"
"50","50. Самые знаменитые страны Древнего мира","Пантилеева А.И., сост.","Белый город","2011","104","твердый переплет","188х260х9","978-5-7793-2012-2","26","Благодаря этой книге вы узнаете много интересного о тех странах, которые существовали тысячелетия тому назад практически на всех континентах.","00104079029","http://www.belygorod.ru/b/N00104079029.jpg","50","200.0","167.0","p","2012-08-21"
