'ID';'НАЗВАНИЕ';'СТУДИЯ';'ГОД ПРОИЗВОДСТВА';'РЕЖИССЁР';'СЦЕНАРИСТ';'ОПЕРАТОР';'ВОЗРАСТНАЯ КАТЕГОРИЯ';'ЖАНР';'СТРАНА';'КАТЕГОРИЯ';'ЦЕНА';'СЕБЕСТОИМОСТЬ';'СТАТУС'
'2157027';'Почти знаменит';'Коламбиа Пикчерз';'2000';'Кемерон Кроу';'Кемерон Кроу';'';'«18+» запрещено для детей';'Художественный';'США';'Видео';'442.0';'341.0';'o'
'2157028';'Открытое окно.';'Кард Интертейнмент, Имэйдж Интертейнмент';'2006';'Миа Голдмен';'Миа Голдмен';'';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'480.0';'369.0';'o'
'2157029';'Открытый простор';'Тачстоун Пикчерз, Кобальт Пикчерз, Бикон Пикчерз, Тиг Продакшнз';'2003';'Кевин Костнер';'Лоран Пэйн, Крейг Сторпер';'Джеймс М.Муро';'«18+» запрещено для детей';'Художественный';'США';'Кино';'748.0';'624.0';'e'
'2157030';'Особо важное задание';'Киностудия "Мосфильм"';'1980';'Е.Матвеев';'Б.Добродеев, П.Попогребский';'И.Черных';'«6+» для детей старше шести лет';'Художественный';'СССР';'Кино';'690.0';'531.0';'e'
'2157031';'Особо опасен';'Юниверсал Пикчерз, Кикстарт Продакшнз, Марк Платт Продакшнз, Рилейтивити Медиа, Спайгласс Интертейнмент, Стилкин Филмз, Топ Кау Продакшнз';'2008';'Тимур Бекмамбетов';'Майкл Брандт, Крис Морган, Дерек Хаас';'Митчелл Амундсен';'«18+» запрещено для детей';'Художественный';'США';'Кино';'546.0';'390.0';'o'
'2157032';'Особо опасен';'Юниверсал Пикчерз, Кикстарт Продакшнз, Марк Платт Продакшнз, Рилейтивити Медиа, Спайгласс Интертейнмент, Стилкин Филмз, Топ Кау Продакшнз';'2008';'Тимур Бекмамбетов';'Майкл Брандт, Крис Морган, Дерек Хаас';'Митчелл Амундсен';'«18+» запрещено для детей';'Художественный';'США';'Кино';'690.0';'575.0';'e'
'2157033';'Особо опасен';'Юниверсал Пикчерз, Кикстарт Продакшнз, Марк Платт Продакшнз, Рилейтивити Медиа, Спайгласс Интертейнмент, Стилкин Филмз, Топ Кау Продакшнз';'2008';'Тимур Бекмамбетов';'Майкл Брандт, Крис Морган, Дерек Хаас';'Митчелл Амундсен';'«18+» запрещено для детей';'Художественный';'США';'Кино';'528.0';'440.0';'o'
'2157034';'Поющее звенящее деревце';'Киностудия "ДЕФА"';'1957';'Ф.Стефани';'';'';'Для любой зрительской аудитории';'Художественный';'ГДР';'Видео';'380.0';'271.0';'e'
'2157035';'Остановился поезд';'Киностудия "Мосфильм"';'1982';'В.Абдрашитов';'А.Миндадзе';'Ю.Невский';'«6+» для детей старше шести лет';'Художественный';'СССР';'Кино';'680.0';'486.0';'e'
'2157036';'Любовь и голуби';'Киностудия "Мосфильм"';'1984';'В.Меньшов';'В.Гуркин';'Ю.Невский';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'540.0';'450.0';'o'
'2157037';'Любовь и сигареты';'Юнайтед Артистс, Грин Стрит Филмз, Айкон Интертейнмент Интернэшнл';'2005';'Джон Туртурро';'Джон Туртурро';'Том Стерн';'«18+» запрещено для детей';'Художественный';'США';'Кино';'372.0';'286.0';'o'
'2157038';'Маленькая черная книжка';'Революшн Студиос, Блу Стар Пикчерз';'2004';'Ник Харран';'Мелисса Картер, Элиза Бэлл';'Тэо Ван Де Санде';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'400.0';'286.0';'e'
'2157039';'От заката до рассвета';'Мирамакс';'1995';'Роберт Родригес';'Квентин Тарантино';'';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'352.0';'252.0';'e'
'2157040';'Отпетые мошенники.';'Пульсар Продюксьон, ТФ1 Фильм';'2008';'Эрик Беснард';'Эрик Беснард';'Жиль Анри';'«18+» запрещено для детей';'Художественный';'Франция';'Кино';'530.0';'379.0';'o'
'2157041';'Отпуск без конца';'Синестезиа Продакшнз';'1980';'Джим Джармуш';'Джим Джармуш';'';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'684.0';'488.4';'o'
'2157042';'Отпуск за свой счет';'Киностудия "Мосфильм", Телевидение ВНР';'1981';'В.Титов';'В.Азерников, А.Полгар';'Ф.Марияши';'«12+» для детей старше 12 лет';'Художественный';'СССР|Венгрия';'Кино';'732.55';'523.25';'o'
'2157043';'Маньчжурский вариант';'"Казахфильм"';'1989';'А.Ашимов';'А.Ашимов, И.Вовнянко';'М.Тохтабакиев';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Видео';'530.0';'408.0';'o'
'2157044';'Марафонец';'Парамаунт Пикчерз';'1976';'Джон Шлезингер';'Уильям Голдман';'';'Зрителям, достигшим 16 лет';'Художественный';'США';'Видео';'671.0';'480.0';'e'
'2157045';'Превосходство Борна /По одноименной новелле Роберта Ладлэма/';'Кеннеди/Маршал Компани, Юниверсал Пикчерз, Гипнотик, Калима Продакшнз, Лудлум Интертейнмент';'2004';'Пол Грингросс';'Тони Гилрой';'Оливер Вуд';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'793.0';'660.0';'o'
'2157046';'Ответный ход';'Киностудия "Мосфильм"';'1981';'М.Туманишвили';'Е.Месяцев';'Б.Бондаренко';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'462.0';'329.7';'o'
'2157047';'Отдаленные последствия';'ООО "Фильм Стрим Продакшн"';'2008';'А.Копейкин';'В.Азерников';'А.Кальницкий';'«12+» для детей старше 12 лет';'Художественный';'Украина';'Видео';'832.0';'693.0';'e'
'2157048';'Малышка на миллион /По мотивам рассказов Ф.Х.Тула из сборника "Клейма от канатов"/';'Уорнер Бразерс, Лейкшор Интертейнмент, Малпасо Продакшнз, Альберт С.Рудди Продакшнз';'2004';'Клинт Иствуд';'Ф.Х.Тул, Пол Хаггис';'Том Стерн';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'580.0';'414.0';'o'
'2157049';'Преданный садовник';'Потбойлер Продакшнз, Эпсилон Моушн Пикчерз, Скайон Филмз Лимитед, ЮК Филм Каунсил';'2005';'Фернанду Мейрелльеш';'Джеффри Кейн';'Сезар Шарлон';'Зрителям, достигшим 14 лет';'Художественный';'Германия|Великобритания';'Кино';'560.0';'467.0';'o'
'2157050';'Отель /По мотивам пьесы Джона Уэбстера/';'Кэтлей, Отель Продакшнс, Мунстоун Интертейнмент, Рэд Маллет Продакшнс';'2001';'Майк Фиггис';'Майк Фиггис';'Патрик Стюарт';'Зрителям, достигшим 18 лет';'Художественный';'Великобритания|Италия';'Кино';'408.0';'292.0';'o'
'2157051';'Председатель';'Киностудия "Мосфильм"';'1964';'А.Салтыков';'Ю.Нагибин';'В.Николаев';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'490.0';'377.0';'e'
'2157052';'Осенний марафон';'Киностудия "Мосфильм"';'1979';'Г.Данелия';'А.Володин';'С.Вронский';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'649.0';'541.0';'o'
'2157053';'Осенняя соната';'Персона Филм, Свенск Фильминдастри, Фильмедис, Инкорпорейтед Телевижн Компэни, Суеде Фильм';'1978';'Ингмар Бергман';'Игмар Бергман';'';'«16+» для детей старше 16 лет';'Художественный';'Франция|Германия|Швеция';'Видео';'350.0';'292.0';'e'
'2157054';'Осенняя соната';'Персона Филм, Свенск Фильминдастри, Фильмедис, Инкорпорейтед Телевижн Компэни, Суеде Фильм';'1978';'Ингмар Бергман';'Игмар Бергман';'';'«16+» для детей старше 16 лет';'Художественный';'Франция|Германия|Швеция';'Видео';'546.0';'455.0';'o'
'2157055';'Осень';'Киностудия "Мосфильм"';'1974';'А.Смирнов';'А.Смирнов';'А.Княжинский';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'610.0';'469.0';'e'
'2157056';'Неподдающиеся';'Киностудия "Мосфильм"';'1959';'Ю.Чулюкин';'Т.Сытина';'К.Бровин';'«6+» для детей старше шести лет';'Художественный';'СССР';'Кино';'680.0';'567.0';'e'
'2157057';'Неподсуден';'Киностудия "Мосфильм"';'1969';'В.Краснопольский, В.Усков';'К.Исаев';'П.Емельянов';'«6+» для детей старше шести лет';'Художественный';'СССР';'Кино';'320.0';'229.0';'o'
'2157058';'Осмозис Джонс';'Уорнер Бразерс';'2001';'Питер Феррелли, Бобби Феррелли';'Марк Хаймэн';'Марк Ирвин';'Зрителям, достигшим 14 лет';'Художественный';'США';'Видео';'533.0';'410.0';'e'
'2157059';'Невиновный';'Тачстоун Пикчерз, Буена Виста Интернэшнл';'1989';'Питер Йейтс';'Ларри Броверс';'';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'499.2';'384.0';'o'
'2157060';'Малена.';'Медуза Фильм, Дименшн Филмс, Мирамакс';'2000';'Джузеппе Торнаторе';'Джузеппе Торнаторе';'Лайос Колтай';'«12+» для детей старше 12 лет';'Художественный';'Италия|США';'Видео';'407.0';'339.0';'e'
'2157061';'Нежная кожа';'Ле Фильм дю Карросс, Седиф С.А., Симар Фильм';'1964';'Франсуа Трюффо';'Франсуа Трюффо, Жан-Луи Ришар';'Рауль Кутар';'Зрителям, достигшим 16 лет';'Художественный';'Франция';'Видео';'440.0';'314.0';'o'
'2157062';'Незабываемый 1919-й год';'Киностудия "Мосфильм"';'1951';'М.Чиаурели';'А.Филимонов,  М.Чиаурели, В.Вишневский';'В.Николаев, Л.Косматов';'«12+» для детей старше 12 лет';'Художественный';'СССР';'Кино';'715.0';'596.0';'o'
'2157063';'Незаконченная жизнь';'Инишиэл Интертейнмент Групп, Мирамакс Филмз, Персистент Интертейнмент, Революшн Студиос, Зе Лэдд Компани';'2005';'Лассе Халлстрем';'Марк Спрагг, Вирджиния Корас Спрагг';'Оливер Стэплтон';'Детям до 12 лет просмотр фильма разрешен в сопровождении родителей';'Художественный';'США';'Кино';'663.0';'473.0';'o'
'2157064';'Незваные.';'Голд Спринг Пикчерз, ДВБС Продакшнз, ДримУоркс СКГ, МакДоналд/Паркс, Монтесито Пикчер Компани, Вертиго Интертейнмент';'2009';'Чарльз Гуард, Томас Гуард';'Грэг Розенберг, Даг Миро, Карло Бернард';'Дэн Лэндин';'Зрителям, достигшим 16 лет';'Художественный';'США';'Видео';'480.0';'400.0';'e'
'2157065';'Приготовьте ваши носовые платки';'Белга Фильм, Ле Фильм Ариан, С.А.Р.А.С';'1978';'Бертран Блие';'Бертран Блие';'';'«18+» запрещено для детей';'Художественный';'Франция|Бельгия';'Видео';'715.0';'595.0';'o'
'2157066';'Операция "Ы" и другие приключения Шурика';'Киностудия "Мосфильм"';'1965';'Л.Гайдай';'Я.Костюковский, М.Слободской, Л.Гайдай';'К.Бровин';'«6+» для детей старше шести лет';'Художественный';'СССР';'Кино';'640.0';'457.0';'e'
